Cause_of_death,Age,Subjects_gender,Region,Subjects_race
Gunshot,34-43,Male,Northeast,European-American/White
Gunshot,44-107,Male,West,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,25-33,Male,West,Hispanic/Latino
Gunshot,44-107,Female,Southeast,European-American/White
Gunshot,44-107,Male,Northeast,European-American/White
Gunshot,0-24,Male,Southeast,African-American/Black
Gunshot,0-24,Male,West,Hispanic/Latino
Gunshot,0-24,Male,West,Hispanic/Latino
Tasered,44-107,Male,Northeast,African-American/Black
Gunshot,0-24,Male,West,European-American/White
Others,34-43,Male,West,Hispanic/Latino
Gunshot,0-24,Male,Southeast,African-American/Black
Others,44-107,Male,Southwest,European-American/White
Tasered,44-107,Male,Midwest,Hispanic/Latino
Gunshot,25-33,Male,Southeast,African-American/Black
Gunshot,34-43,Male,Northeast,African-American/Black
Gunshot,34-43,Male,Southwest,African-American/Black
Gunshot,25-33,Male,Southeast,African-American/Black
Gunshot,44-107,Male,West,European-American/White
Vehicle,44-107,Male,Northeast,European-American/White
Tasered,34-43,Male,West,Hispanic/Latino
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,0-24,Male,Southwest,Hispanic/Latino
Vehicle,44-107,Male,Midwest,European-American/White
Gunshot,25-33,Male,West,European-American/White
Gunshot,25-33,Male,Southwest,Hispanic/Latino
Vehicle,44-107,Male,Southeast,European-American/White
Gunshot,25-33,Male,Northeast,African-American/Black
Gunshot,44-107,Male,Southeast,European-American/White
Vehicle,0-24,Male,Midwest,European-American/White
Vehicle,0-24,Male,Midwest,European-American/White
Vehicle,0-24,Female,Midwest,European-American/White
Gunshot,25-33,Male,Northeast,European-American/White
Tasered,34-43,Male,West,African-American/Black
Gunshot,0-24,Male,Midwest,European-American/White
Vehicle,44-107,Male,Southeast,European-American/White
Vehicle,34-43,Male,Southwest,European-American/White
Vehicle,34-43,Male,Southeast,African-American/Black
Gunshot,0-24,Male,Southwest,Hispanic/Latino
Others,25-33,Male,Southeast,European-American/White
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,34-43,Female,West,European-American/White
Gunshot,34-43,Male,West,Asian/Pacific Islander
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,44-107,Male,Southeast,African-American/Black
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,25-33,Female,Southeast,European-American/White
Gunshot,34-43,Male,West,European-American/White
Tasered,0-24,Male,Southwest,African-American/Black
Others,34-43,Male,Midwest,European-American/White
Gunshot,25-33,Male,West,Hispanic/Latino
Tasered,25-33,Male,West,European-American/White
Gunshot,0-24,Male,West,African-American/Black
Gunshot,0-24,Male,Midwest,African-American/Black
Gunshot,44-107,Male,West,Hispanic/Latino
Vehicle,0-24,Female,West,European-American/White
Gunshot,34-43,Male,Southwest,European-American/White
Gunshot,25-33,Male,West,Hispanic/Latino
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,44-107,Male,Southeast,European-American/White
Others,44-107,Female,Southeast,European-American/White
Gunshot,0-24,Male,West,African-American/Black
Tasered,34-43,Male,Southwest,African-American/Black
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,25-33,Male,West,Hispanic/Latino
Tasered,0-24,Male,Southeast,African-American/Black
Tasered,34-43,Male,Southwest,Hispanic/Latino
Gunshot,34-43,Male,Southwest,Hispanic/Latino
Tasered,44-107,Male,West,African-American/Black
Gunshot,44-107,Male,Northeast,European-American/White
Gunshot,0-24,Male,Southwest,European-American/White
Gunshot,44-107,Male,West,European-American/White
Gunshot,0-24,Male,West,African-American/Black
Gunshot,34-43,Male,Southeast,Hispanic/Latino
Gunshot,34-43,Male,Southwest,European-American/White
Gunshot,44-107,Female,Northeast,European-American/White
Gunshot,44-107,Male,West,Asian/Pacific Islander
Vehicle,34-43,Male,West,Hispanic/Latino
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,34-43,Female,Southeast,European-American/White
Gunshot,44-107,Male,Northeast,European-American/White
Vehicle,44-107,Male,West,Hispanic/Latino
Gunshot,25-33,Male,Southwest,Hispanic/Latino
Gunshot,44-107,Male,Southeast,Hispanic/Latino
Gunshot,44-107,Male,Southwest,Hispanic/Latino
Gunshot,25-33,Male,Southwest,Asian/Pacific Islander
Gunshot,25-33,Male,Midwest,European-American/White
Vehicle,34-43,Female,West,Hispanic/Latino
Vehicle,25-33,Male,West,European-American/White
Gunshot,25-33,Male,West,Hispanic/Latino
Gunshot,0-24,Male,Southeast,African-American/Black
Gunshot,25-33,Male,West,European-American/White
Gunshot,25-33,Male,Southwest,African-American/Black
Gunshot,34-43,Male,West,Hispanic/Latino
Gunshot,34-43,Male,Midwest,European-American/White
Tasered,34-43,Male,West,European-American/White
Gunshot,0-24,Male,Northeast,African-American/Black
Vehicle,44-107,Female,Northeast,African-American/Black
Gunshot,0-24,Male,Midwest,Hispanic/Latino
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,44-107,Male,West,European-American/White
Gunshot,0-24,Male,West,European-American/White
Gunshot,44-107,Male,Northeast,African-American/Black
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,44-107,Male,West,European-American/White
Vehicle,0-24,Male,Midwest,African-American/Black
Gunshot,0-24,Male,Midwest,African-American/Black
Gunshot,0-24,Male,Southeast,European-American/White
Vehicle,0-24,Male,Southeast,European-American/White
Others,25-33,Male,Southwest,African-American/Black
Gunshot,44-107,Male,West,European-American/White
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,25-33,Male,West,Asian/Pacific Islander
Gunshot,25-33,Male,West,Hispanic/Latino
Gunshot,25-33,Male,Southwest,European-American/White
Gunshot,44-107,Male,Southwest,Hispanic/Latino
Vehicle,44-107,Male,West,European-American/White
Gunshot,0-24,Male,Northeast,Hispanic/Latino
Gunshot,34-43,Male,Northeast,African-American/Black
Gunshot,25-33,Male,Southeast,European-American/White
Gunshot,25-33,Male,West,European-American/White
Gunshot,34-43,Male,West,Hispanic/Latino
Gunshot,25-33,Male,West,European-American/White
Gunshot,44-107,Male,Southeast,African-American/Black
Vehicle,44-107,Male,Southeast,European-American/White
Gunshot,25-33,Male,Southeast,African-American/Black
Gunshot,34-43,Male,Midwest,African-American/Black
Gunshot,44-107,Male,West,Middle Eastern
Gunshot,44-107,Male,Southeast,European-American/White
Vehicle,0-24,Female,Midwest,African-American/Black
Gunshot,34-43,Male,West,African-American/Black
Vehicle,0-24,Male,Southeast,European-American/White
Vehicle,34-43,Male,West,European-American/White
Vehicle,25-33,Male,West,European-American/White
Gunshot,25-33,Male,Midwest,African-American/Black
Others,34-43,Male,West,African-American/Black
Tasered,0-24,Male,West,Hispanic/Latino
Vehicle,0-24,Male,West,European-American/White
Gunshot,34-43,Male,Southeast,African-American/Black
Vehicle,44-107,Male,Southwest,African-American/Black
Tasered,25-33,Male,Southwest,African-American/Black
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,34-43,Male,Midwest,European-American/White
Gunshot,34-43,Male,West,African-American/Black
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,34-43,Male,Northeast,European-American/White
Others,34-43,Male,Southwest,Hispanic/Latino
Tasered,44-107,Female,West,European-American/White
Gunshot,25-33,Male,Midwest,African-American/Black
Gunshot,0-24,Male,West,European-American/White
Gunshot,25-33,Male,Southeast,European-American/White
Gunshot,34-43,Male,Northeast,European-American/White
Gunshot,0-24,Male,West,Hispanic/Latino
Gunshot,0-24,Male,West,African-American/Black
Gunshot,25-33,Male,West,European-American/White
Tasered,44-107,Male,West,African-American/Black
Vehicle,25-33,Female,Northeast,European-American/White
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,25-33,Male,Southwest,Hispanic/Latino
Gunshot,25-33,Male,West,Hispanic/Latino
Gunshot,34-43,Male,West,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Tasered,34-43,Male,Midwest,African-American/Black
Vehicle,44-107,Male,Northeast,African-American/Black
Gunshot,0-24,Male,Southeast,African-American/Black
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,0-24,Female,Northeast,African-American/Black
Gunshot,44-107,Male,Southwest,European-American/White
Tasered,44-107,Male,Northeast,Hispanic/Latino
Vehicle,0-24,Female,West,Hispanic/Latino
Others,44-107,Male,Southwest,African-American/Black
Gunshot,0-24,Male,Southwest,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,34-43,Male,Southeast,European-American/White
Gunshot,25-33,Male,Northeast,African-American/Black
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,0-24,Male,Southeast,African-American/Black
Tasered,25-33,Male,Midwest,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,0-24,Male,Southwest,African-American/Black
Gunshot,44-107,Male,Southeast,European-American/White
Vehicle,44-107,Male,West,European-American/White
Gunshot,0-24,Male,Southwest,European-American/White
Vehicle,25-33,Male,Southeast,African-American/Black
Gunshot,34-43,Male,West,Hispanic/Latino
Gunshot,44-107,Male,Northeast,African-American/Black
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,25-33,Male,Northeast,African-American/Black
Gunshot,44-107,Male,West,African-American/Black
Gunshot,0-24,Male,Southwest,Hispanic/Latino
Tasered,44-107,Male,Midwest,European-American/White
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,44-107,Male,Southeast,African-American/Black
Gunshot,34-43,Male,Southeast,European-American/White
Vehicle,0-24,Male,Midwest,European-American/White
Gunshot,34-43,Male,Midwest,European-American/White
Gunshot,25-33,Male,Southwest,Hispanic/Latino
Gunshot,0-24,Male,Southeast,European-American/White
Gunshot,25-33,Female,Southeast,European-American/White
Others,34-43,Male,Southeast,European-American/White
Gunshot,25-33,Male,West,European-American/White
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,25-33,Male,West,Hispanic/Latino
Gunshot,34-43,Male,Midwest,European-American/White
Gunshot,0-24,Male,Northeast,African-American/Black
Gunshot,34-43,Male,West,European-American/White
Gunshot,34-43,Male,Northeast,European-American/White
Vehicle,0-24,Male,Midwest,European-American/White
Gunshot,34-43,Male,Northeast,African-American/Black
Others,44-107,Male,West,Hispanic/Latino
Gunshot,44-107,Male,West,European-American/White
Gunshot,34-43,Male,Southeast,European-American/White
Gunshot,25-33,Male,Southeast,Asian/Pacific Islander
Gunshot,0-24,Male,West,African-American/Black
Others,44-107,Male,Midwest,European-American/White
Tasered,25-33,Male,Southeast,African-American/Black
Gunshot,0-24,Male,West,European-American/White
Gunshot,25-33,Female,Northeast,European-American/White
Vehicle,0-24,Male,Southeast,European-American/White
Gunshot,34-43,Male,Southeast,European-American/White
Vehicle,25-33,Female,Northeast,African-American/Black
Vehicle,25-33,Male,Northeast,African-American/Black
Vehicle,34-43,Male,Southeast,African-American/Black
Others,0-24,Male,West,Hispanic/Latino
Gunshot,25-33,Male,Southwest,European-American/White
Gunshot,34-43,Male,Southeast,European-American/White
Gunshot,0-24,Male,Southeast,European-American/White
Vehicle,34-43,Male,West,European-American/White
Gunshot,44-107,Male,Midwest,European-American/White
Vehicle,0-24,Male,West,Hispanic/Latino
Vehicle,44-107,Female,Midwest,African-American/Black
Gunshot,34-43,Male,Southwest,Hispanic/Latino
Gunshot,0-24,Male,West,Hispanic/Latino
Gunshot,0-24,Male,Midwest,European-American/White
Gunshot,25-33,Male,West,Asian/Pacific Islander
Gunshot,25-33,Male,Southwest,European-American/White
Gunshot,25-33,Male,Southwest,African-American/Black
Gunshot,34-43,Male,Midwest,European-American/White
Vehicle,25-33,Male,Southwest,Native American/Alaskan
Vehicle,44-107,Male,Southwest,Hispanic/Latino
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,44-107,Male,Northeast,African-American/Black
Gunshot,0-24,Male,Midwest,Hispanic/Latino
Vehicle,34-43,Male,Southeast,African-American/Black
Gunshot,34-43,Male,Midwest,European-American/White
Gunshot,44-107,Male,Midwest,European-American/White
Vehicle,44-107,Female,Southeast,European-American/White
Vehicle,44-107,Male,Southeast,European-American/White
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,25-33,Male,Midwest,Hispanic/Latino
Tasered,44-107,Male,Southeast,European-American/White
Gunshot,44-107,Male,West,Hispanic/Latino
Vehicle,34-43,Male,Southeast,African-American/Black
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,44-107,Male,Southwest,European-American/White
Gunshot,44-107,Male,West,Hispanic/Latino
Gunshot,34-43,Male,Southeast,European-American/White
Gunshot,25-33,Male,Southeast,African-American/Black
Vehicle,0-24,Male,Southwest,Hispanic/Latino
Gunshot,0-24,Male,Midwest,European-American/White
Gunshot,25-33,Male,Southwest,European-American/White
Vehicle,25-33,Male,Midwest,European-American/White
Others,25-33,Male,Northeast,Hispanic/Latino
Gunshot,25-33,Male,West,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,0-24,Male,Northeast,Hispanic/Latino
Gunshot,34-43,Male,Southwest,European-American/White
Others,44-107,Male,Southeast,European-American/White
Tasered,34-43,Male,Southeast,European-American/White
Gunshot,44-107,Male,Southeast,European-American/White
Others,34-43,Male,West,European-American/White
Gunshot,0-24,Male,Midwest,European-American/White
Gunshot,25-33,Male,Midwest,European-American/White
Gunshot,44-107,Male,Northeast,African-American/Black
Vehicle,34-43,Male,Southeast,African-American/Black
Vehicle,44-107,Male,Southeast,European-American/White
Gunshot,0-24,Male,Southeast,African-American/Black
Gunshot,0-24,Male,West,Hispanic/Latino
Gunshot,44-107,Male,Southeast,European-American/White
Vehicle,44-107,Male,Southwest,African-American/Black
Vehicle,44-107,Female,Midwest,European-American/White
Vehicle,0-24,Male,Midwest,European-American/White
Gunshot,0-24,Male,Southeast,African-American/Black
Vehicle,0-24,Male,Midwest,African-American/Black
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,44-107,Male,Southwest,African-American/Black
Vehicle,0-24,Male,Southeast,European-American/White
Vehicle,0-24,Male,Midwest,African-American/Black
Tasered,44-107,Male,Midwest,African-American/Black
Vehicle,0-24,Male,Midwest,African-American/Black
Others,34-43,Male,Midwest,African-American/Black
Gunshot,25-33,Male,Southwest,Hispanic/Latino
Gunshot,0-24,Male,West,Hispanic/Latino
Vehicle,0-24,Male,Midwest,African-American/Black
Others,34-43,Male,Southeast,European-American/White
Gunshot,34-43,Male,West,European-American/White
Gunshot,34-43,Male,Southeast,European-American/White
Gunshot,25-33,Male,Southwest,European-American/White
Gunshot,25-33,Male,West,Hispanic/Latino
Gunshot,34-43,Male,Southwest,Hispanic/Latino
Vehicle,44-107,Male,Southeast,European-American/White
Vehicle,44-107,Male,Southwest,European-American/White
Gunshot,44-107,Male,Midwest,European-American/White
Gunshot,34-43,Male,Midwest,European-American/White
Tasered,25-33,Male,Southeast,European-American/White
Vehicle,34-43,Male,Southeast,European-American/White
Gunshot,0-24,Male,Southwest,Hispanic/Latino
Others,34-43,Male,Southwest,European-American/White
Gunshot,25-33,Male,Midwest,Hispanic/Latino
Gunshot,0-24,Male,Southeast,African-American/Black
Vehicle,0-24,Male,Midwest,African-American/Black
Vehicle,0-24,Female,Midwest,African-American/Black
Tasered,25-33,Male,Midwest,African-American/Black
Gunshot,34-43,Male,West,European-American/White
Vehicle,34-43,Male,Northeast,African-American/Black
Vehicle,34-43,Male,Southeast,African-American/Black
Vehicle,0-24,Male,Midwest,European-American/White
Gunshot,44-107,Male,Southeast,European-American/White
Gunshot,44-107,Female,Southeast,European-American/White
Vehicle,0-24,Male,Midwest,European-American/White
